Location,Category of Production,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
"Kansas","Other renewables",2159.65,1427.14,2653.54,2523.87,2285.19,1708.26,1555.99,2194.84,2253.95,2116.02,2218.21,2716.81
"Kansas","Conventional hydroelectric",2.26,1.84,2.34,3.59,3.29,2.56,4.2,1.96,2.54,1.41,1.37,2.61
"Kansas","Nuclear",911.62,823.21,676.42,,428.19,646.81,893.23,778.46,870.46,853.71,855.98,836.65
"Kansas","Utility-scale photovoltaic",2.82,3.3,3.81,5.75,5.95,7.95,7.94,7.55,5.98,4.15,3.16,2.71
"Kansas","All utility-scale solar",2.82,3.3,3.81,5.75,5.95,7.95,7.94,7.55,5.98,4.15,3.16,2.71
"Kansas","All solar",6.26,6.96,8.44,10.81,11.49,13.55,13.8,14.15,12.01,9.47,7.72,7.05
"Kansas","Wind",2151.97,1419.84,2645.15,2513.21,2274.22,1695.08,1543.33,2181.82,2242.64,2107.37,2209.85,2709.21
"Kentucky","All fuels",6371.69,6410.12,5066.81,4954.25,5654,6625.51,7139.69,7227.27,5586.25,4723.28,5159.69,4989.86
"Kentucky","Other renewables",40.35,30.78,38.9,41.47,40.05,32.88,44.79,32.61,37.74,39.95,39.19,42.01
"Kentucky","Conventional hydroelectric",461.94,403.42,295.53,344.85,414.47,465.69,417.99,422.66,371.32,377.5,405.51,495.57
"Kentucky","Utility-scale photovoltaic",2.29,2.16,4,4.9,5.19,4.77,4.87,4.62,4.23,3.55,3.29,2.1
"Kentucky","All utility-scale solar",2.29,2.16,4,4.9,5.19,4.77,4.87,4.62,4.23,3.55,3.29,2.1
"Kentucky","All solar",5.54,6.01,9.23,10.96,12.11,12.04,12.39,12.19,10.9,9.46,8,6.58
"Louisiana","All fuels",7863.38,7533.68,6842.53,7137.31,8029.24,8975.28,10102.96,10139.71,7239.67,8967.54,7946.33,7937.68
"Louisiana","Other renewables",211.82,168.46,207.27,194.61,167.84,191.65,167.38,202.81,195.69,189.33,190.29,199.3
"Louisiana","Conventional hydroelectric",104.47,55.06,92.75,84.11,177.99,132.87,131.02,87.63,59.87,64.81,56.63,61.97
"Louisiana","Nuclear",1599.56,1258.29,1029.56,1281.54,1570.52,1544.31,1591.42,1482.37,1173.63,1596.97,1516.37,1604.16
"Louisiana","Utility-scale photovoltaic",9.7,8.21,11.87,14.2,15.11,15.85,12.13,15.44,13.72,12.47,10.5,7.2
"Louisiana","All utility-scale solar",9.7,8.21,11.87,14.2,15.11,15.85,12.13,15.44,13.72,12.47,10.5,7.2
"Louisiana","All solar",26.22,25.06,34.05,38.97,41.6,41.2,37.57,40.53,35.69,34,28.92,23.28
"Maine","All fuels",985.47,872.32,974.95,855.8,795.01,817.47,893.75,954.2,914.57,881.65,1018.48,944.46
"Maine","Other renewables",468.47,373.51,530.79,385.86,326.56,390.09,318.82,288.87,358.11,324.6,444,460.89
"Maine","Conventional hydroelectric",255.73,164.62,252.44,311.52,238.52,105.62,208.9,146.5,168.6,180.9,256.23,251.33
"Maine","Utility-scale photovoltaic",5.52,4.94,11.12,10.49,12.77,19.94,15.76,18.83,18.96,13.45,17.64,8.14
"Maine","All utility-scale solar",5.52,4.94,11.12,10.49,12.77,19.94,15.76,18.83,18.96,13.45,17.64,8.14
"Maine","All solar",12.39,12.71,21.25,21.79,24.94,32.98,31.65,34.58,32.82,24.49,26.22,17.34
"Maine","Wind",267.3,202.86,327.54,250.13,199,201.27,131.12,80.98,176.85,166.27,255.03,285.84
"Maryland","All fuels",2976.45,2993.78,2642.25,2970.28,2834.86,3226.7,3848.35,3847.56,3318.07,3439.92,3214.23,2923.27
"Maryland","Other renewables",123.29,99.5,154.84,145.38,127.47,120.51,120.14,112.51,136.21,126.15,131.01,127.31
"Maryland","Conventional hydroelectric",181.35,92.55,321.28,193.85,209.01,99.08,168.11,128.32,199.85,173.85,228.54,121.36
"Maryland","Nuclear",1350.62,1163.67,832.89,1297.99,1337.93,1278.21,1263.36,1288.57,1253.27,1320.37,1259.12,1347.63
"Maryland","Utility-scale photovoltaic",33.79,27.99,60.33,61.92,62.44,63.16,62.05,65.38,66.71,49.25,46.57,32.46
"Maryland","All utility-scale solar",33.79,27.99,60.33,61.92,62.44,63.16,62.05,65.38,66.71,49.25,46.57,32.46
"Maryland","All solar",90.77,85.15,158.47,168.99,179.38,181.69,184.68,164.5,144.65,105.34,112.37,80.99
"Maryland","Wind",57.96,45.3,59.26,56.55,30.64,23.36,24.33,18.23,39.18,46.12,54.98,61.53
"Massachusetts","All fuels",2051.77,1821.78,1369.86,1095.31,1139.29,2184.77,2020.93,2358.45,1463.35,1473.24,1161.81,1336.8
"Massachusetts","Other renewables",172.96,153.24,293.69,240.26,289.96,288.07,250.63,249.13,240.09,213.16,207.4,170.35
"Massachusetts","Hydro-electric pumped storage",-33.38,-18.61,-40.89,-35.39,-30.81,-34.7,-40.98,-42.93,-36.62,-42.13,-27.48,-40.33
"Massachusetts","Conventional hydroelectric",111.63,71.95,110.31,136.08,104.67,46.85,92.63,64.73,74.83,80.2,112.84,110.79
"Massachusetts","Utility-scale photovoltaic",72.52,58.12,182.58,151.34,188.09,195.97,155.91,157.52,147.37,109.25,107.67,61.07
"Massachusetts","All utility-scale solar",72.52,58.12,182.58,151.34,188.09,195.97,155.91,157.52,147.37,109.25,107.67,61.07
"Massachusetts","All solar",218.96,217.64,426.11,410.88,469.71,479.24,434.56,413.42,358.12,271.87,246.43,173.22
"Massachusetts","Wind",14.29,17.47,23.83,19.04,20.25,13.77,12.77,11.19,15.52,20.69,21.45,18.36
"Michigan","All fuels",10433.08,10189.43,9535.53,7837.92,7703.28,10088.23,10330.01,10873.52,9296.71,9696.78,9864.85,9663.8
"Michigan","Other renewables",779.73,919.76,1236.54,879.02,755.64,823.4,688.85,579.98,861.76,803.82,1067.67,1093.1
"Michigan","Hydro-electric pumped storage",-55.33,-52.43,-48.01,-30.86,1.48,-27.46,-109.32,-125.48,-96.76,-78.61,-36.78,-55.57
"Michigan","Conventional hydroelectric",132.33,105.07,115.94,119.68,111.65,108.72,107.01,115.06,98.76,106.44,104.14,114.96
"Michigan","Nuclear",3178.38,2867.77,3144.97,2626.38,2270.76,2749.04,2519.22,2979.73,2958.52,3083.49,3037.21,2922.86
"Michigan","Utility-scale photovoltaic",13.14,22.9,43.87,40.02,49.9,49.84,51.29,50.52,40.85,24.56,18.38,18.53
"Michigan","All utility-scale solar",13.14,22.9,43.87,40.02,49.9,49.84,51.29,50.52,40.85,24.56,18.38,18.53
"Michigan","All solar",20.9,33.56,60.95,59,70.65,71.02,74.15,72.38,60.41,38.44,27.52,27.17
"Michigan","Wind",550.9,686.31,988.67,653.13,515.47,572.9,425.37,321.57,629.03,589.72,868.54,895.28
"Minnesota","All fuels",4961.49,5019.97,4437.74,3839.52,3923.56,5279.46,5834.16,6045.62,4547.85,4582.78,5071.15,5652.48
"Minnesota","Other renewables",1104.86,937.81,1425.2,1479.65,1342.14,1210.98,1021.92,1225.46,1307.11,1260.88,1526.49,1578.13
"Minnesota","Conventional hydroelectric",69.27,58.2,55.31,51.82,62.12,64.28,56.5,52.79,43.7,44.79,52.83,67.49
"Minnesota","Nuclear",1308.79,1183.84,1266.5,991.85,949.5,1213.27,1276.77,1267.08,1173.69,899.58,1276.05,1315.85
"Minnesota","Utility-scale photovoltaic",69.9,104.74,179.48,164,209.31,260.23,236.67,220.91,188.75,127.13,80.72,51.62
"Minnesota","All utility-scale solar",69.9,104.74,179.48,164,209.31,260.23,236.67,220.91,188.75,127.13,80.72,51.62
"Minnesota","All solar",77.42,114.27,194.16,182.55,228.81,280.21,258.62,241.26,206.74,140.64,91.27,60.79
"Minnesota","Wind",934.96,739.04,1143.04,1233.34,1027.66,835.77,665.77,898.44,1006.12,1029.35,1336.61,1421.21
"Mississippi","All fuels",6805.99,5599.2,4520.75,5244.51,5425.34,6106.82,6678.57,6722.29,5179.15,4923.62,5157.21,5360.04
"Mississippi","Other renewables",143.06,121.07,155.73,165.23,162.08,159.89,161.44,161.38,151.59,119.02,138.2,152.78
"Mississippi","Nuclear",1037.17,961.33,1056.39,647.05,969.22,1015.77,1020.36,1045.21,989.34,1001.91,1030,998.31
"Mississippi","Utility-scale photovoltaic",25.87,24.39,34.35,45.74,45.38,40.94,40.86,41.43,37.16,34.73,33.09,21
"Mississippi","All utility-scale solar",25.87,24.39,34.35,45.74,45.38,40.94,40.86,41.43,37.16,34.73,33.09,21
"Mississippi","All solar",26.82,25.43,35.72,47.24,46.99,42.51,42.44,43.02,38.55,36.1,34.29,22.16
"Missouri","All fuels",6815.58,6740.8,5256.88,5007.38,5292.14,6729.36,7144.86,8084.48,7003.81,6138.46,6241.08,6486.59
"Missouri","Other renewables",505.18,416.61,741.38,647.56,557.96,398.04,296.35,492.07,563.65,590.49,724.49,840.34
"Missouri","Hydro-electric pumped storage",-2.81,-1.83,8.25,16.91,7.57,4.52,5.07,-10.04,-7.2,-9.39,-5.72,-3.83
"Missouri","Conventional hydroelectric",163.12,136.53,139.01,131.96,151.28,163.16,160.67,143.72,110.56,108.14,126.61,162.71
"Missouri","Nuclear",-29.68,,,,,,,742.91,868.61,905.86,889.06,915.68
"Missouri","Utility-scale photovoltaic",3.99,4.48,9.18,10.42,8.89,12.58,13.65,13.86,13.54,9.14,9.04,7.26
"Missouri","All utility-scale solar",3.99,4.48,9.18,10.42,8.89,12.58,13.65,13.86,13.54,9.14,9.04,7.26
"Missouri","All solar",27.59,30.16,43.33,48.42,50.63,57.87,60.85,59.97,54.75,44.5,37.52,33.46
"Missouri","Wind",490.81,402.98,721.64,629.18,542,373.53,270.06,464.59,536.9,574.38,705.68,822.6
"Montana","All fuels",2283.45,1919.19,2452.62,1849.55,1863.24,1850.62,2186.54,2125.14,2099.36,2028.27,2207.02,2082.91
"Montana","Other renewables",322.02,246.49,324.48,294.55,244.15,246.3,181.81,248.98,272.01,325.4,454.82,377.37
"Montana","Conventional hydroelectric",780.98,709.51,920.83,928.63,949.16,877.39,879.49,833.44,660.57,560.77,579.07,578.53
"Montana","Utility-scale photovoltaic",1.17,1.23,3.16,3.43,4.09,5.17,4.47,3.52,3.3,2.03,1.23,0.63
"Montana","All utility-scale solar",1.17,1.23,3.16,3.43,4.09,5.17,4.47,3.52,3.3,2.03,1.23,0.63
"Montana","All solar",3.03,3.6,6.56,7.44,8.54,9.7,9.79,8.42,7.52,5.44,3.48,2.61
"Montana","Wind",318.01,242.88,318.48,288.39,237.53,238.33,174.53,242.75,265.89,320.81,450.97,374.09
